Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,1/17/12,Western Caro.,,Toccoa Falls,W 141-39,200,51,88,0.58,42,62,0.677,9,26,0.346,30,37,0.811,141
2,11/16/11,UNC Asheville,,Mars Hill,W 126-75,200,49,86,0.57,38,61,0.623,11,25,0.44,17,25,0.68,126
3,12/28/11,UNLV,,Central Ark.,W 124-75,200,47,70,0.671,29,38,0.763,18,32,0.563,12,15,0.8,124
4,1/12/12,Houston Baptist,,Crowley's Ridge,W 123-43,200,49,86,0.57,43,70,0.614,6,16,0.375,19,22,0.864,123
5,12/10/11,VMI,,Milligan,W 122-73,200,38,59,0.644,26,34,0.765,12,25,0.48,34,47,0.723,122
6,11/11/11,Cal St Fullerton,,Redlands,W 118-68,200,41,74,0.554,30,47,0.638,11,27,0.407,25,39,0.641,118
7,12/31/11,Duquesne,,Houston Baptist,W 118-72,200,44,76,0.579,36,59,0.61,8,17,0.471,22,34,0.647,118
8,11/13/11,Troy,,LaGrange,W 116-63,200,41,93,0.441,24,57,0.421,17,36,0.472,17,21,0.81,116
9,11/13/11,N.C. Central,,Johnson/Wales-NC,W 115-41,200,43,66,0.652,34,42,0.81,9,24,0.375,20,28,0.714,115
10,1/25/12,UTSA,,Jarvis Christian,W 115-49,200,41,67,0.612,24,36,0.667,17,31,0.548,16,22,0.727,115
11,2/23/12,New Mexico St.,,Hawaii,W 115-73,200,41,68,0.603,36,54,0.667,5,14,0.357,28,43,0.651,115
12,12/3/11,Charleston So.,,VMI,W 114-81,200,42,69,0.609,29,47,0.617,13,22,0.591,17,20,0.85,114
13,11/14/11,Maine,,Maine-Machias,W 113-49,200,44,63,0.698,30,36,0.833,14,27,0.519,11,13,0.846,113
14,11/14/11,NJIT,,Penn St.-Abington,W 113-61,200,43,76,0.566,33,50,0.66,10,26,0.385,17,22,0.773,113
15,11/18/11,Detroit,,Concordia (MI),W 113-68,200,44,79,0.557,35,56,0.625,9,23,0.391,16,27,0.593,113
16,11/23/11,N.C. Central,,Morris College,W 112-50,200,39,57,0.684,30,38,0.789,9,19,0.474,25,32,0.781,112
17,12/10/11,Houston Baptist,,Dallas Christian,W 112-80,200,41,84,0.488,35,64,0.547,6,20,0.3,24,31,0.774,112
18,11/11/11,Davidson,,Guilford,W 111-64,200,37,76,0.487,26,40,0.65,11,36,0.306,26,36,0.722,111
19,11/13/11,Montana State,,N New Mexico,W 111-61,200,46,72,0.639,40,53,0.755,6,19,0.316,13,21,0.619,111
20,1/4/12,Buffalo,,Buffalo State,W 111-59,200,39,81,0.481,30,58,0.517,9,23,0.391,24,42,0.571,111
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
