Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,School,School,School,School,School,School,School,School,School,School,School,School,School
Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,12/2/14,VMI,,Mid-Atl Christian,W 133-62,200,54,105,0.514,39,48,0.813,15,57,0.263,10,21,0.476,133
2,12/15/14,Lamar,,Champion Baptist,W 128-54,200,56,87,0.644,51,70,0.729,5,17,0.294,11,17,0.647,128
3,11/26/14,Iona,,Delaware State,W 126-76,200,41,71,0.577,17,32,0.531,24,39,0.615,20,22,0.909,126
4,1/2/15,Central Mich.,,Central Penn,W 125-80,200,48,84,0.571,32,46,0.696,16,38,0.421,13,17,0.765,125
5,11/18/14,VMI,,Johnson,W 124-42,200,43,82,0.524,22,36,0.611,21,46,0.457,17,24,0.708,124
6,11/18/14,N.C. Central,,College of Faith,W 123-65,200,44,70,0.629,35,54,0.648,9,16,0.563,26,38,0.684,123
7,11/25/14,BYU,N,Chaminade,W 121-85,200,41,74,0.554,24,45,0.533,17,29,0.586,22,26,0.846,121
8,11/29/14,Morehead State,,Kentucky Christian,W 121-49,200,49,77,0.636,39,57,0.684,10,20,0.5,13,26,0.5,121
9,12/28/14,Radford,,Central Penn,W 119-69,200,47,67,0.701,37,52,0.712,10,15,0.667,15,23,0.652,119
10,12/7/14,Elon,,Central Penn,W 117-73,200,47,77,0.61,35,50,0.7,12,27,0.444,11,18,0.611,117
11,11/14/14,Indiana,,Miss Val St,W 116-65,200,39,59,0.661,28,36,0.778,11,23,0.478,27,37,0.73,116
12,11/15/14,Evansville,,Earlham (IN),W 116-45,200,50,80,0.625,47,74,0.635,3,6,0.5,13,17,0.765,116
13,11/14/14,Georgia State,,Tennessee Temple,W 115-55,200,40,64,0.625,27,43,0.628,13,21,0.619,22,35,0.629,115
14,11/18/14,Eastern Ky.,,Kentucky Christian,W 115-35,200,44,72,0.611,28,44,0.636,16,28,0.571,11,15,0.733,115
15,11/20/14,UT-Martin,,Champion Baptist,W 115-29,200,43,71,0.606,29,42,0.69,14,29,0.483,15,22,0.682,115
16,11/22/14,Eastern Ky.,,Cinci-Clermont,W 115-50,200,41,78,0.526,30,43,0.698,11,35,0.314,22,28,0.786,115
17,12/13/14,Louisiana,,Centenary (LA),W 115-59,200,44,74,0.595,28,48,0.583,16,26,0.615,11,21,0.524,115
18,12/17/14,Louisiana,,Milligan,W 115-76,200,42,74,0.568,31,49,0.633,11,25,0.44,20,31,0.645,115
19,11/16/14,Illinois,,Coppin State,W 114-56,200,41,74,0.554,26,46,0.565,15,28,0.536,17,19,0.895,114
20,12/16/14,Southern,,Champion Baptist,W 114-50,200,47,73,0.644,43,65,0.662,4,8,0.5,16,19,0.842,114
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,11/14/14,Duke,,Presbyterian,W 113-44,200,42,69,0.609,26,38,0.684,16,31,0.516,13,16,0.813,113
22,11/14/14,UCLA,,Montana State,W 113-78,200,39,68,0.574,30,49,0.612,9,19,0.474,26,40,0.65,113
23,12/5/14,UNLV,,St. Katherine,W 113-53,200,41,66,0.621,28,44,0.636,13,22,0.591,18,28,0.643,113
24,2/21/15,VMI,@,Western Caro.,W 113-111 (2OT),250,34,74,0.459,14,28,0.5,20,46,0.435,25,32,0.781,113
25,1/10/15,Columbia,,Central Penn,W 112-63,200,37,69,0.536,21,34,0.618,16,35,0.457,22,26,0.846,112
26,11/18/14,ETSU,,Virginia Wise,W 111-66,200,42,87,0.483,28,54,0.519,14,33,0.424,13,22,0.591,111
27,11/29/14,Sam Houston St.,,Univ of the SW,W 111-51,200,38,69,0.551,26,39,0.667,12,30,0.4,23,35,0.657,111
28,12/2/14,Elon,,Virginia-Lynchburg,W 111-55,200,41,88,0.466,28,55,0.509,13,33,0.394,16,22,0.727,111
29,2/21/15,Western Caro.,,VMI,L 111-113 (2OT),250,40,79,0.506,33,57,0.579,7,22,0.318,24,34,0.706,111
30,11/14/14,Chattanooga,,Hiwassee,W 110-53,200,37,68,0.544,28,41,0.683,9,27,0.333,27,41,0.659,110
31,11/22/14,UNC Wilmington,@,VMI,W 110-93,200,47,79,0.595,45,72,0.625,2,7,0.286,14,20,0.7,110
32,12/10/14,Davidson,@,Montana,W 110-99,200,33,56,0.589,23,33,0.697,10,23,0.435,34,36,0.944,110
33,12/20/14,Incarnate Word,@,UMKC,W 110-104 (3OT),275,36,66,0.545,31,44,0.705,5,22,0.227,33,44,0.75,110
34,2/3/15,NW St.,@,Central Ark.,W 110-108,200,37,76,0.487,26,51,0.51,11,25,0.44,25,33,0.758,110
35,2/21/15,Kentucky,,Auburn,W 110-75,200,44,68,0.647,38,51,0.745,6,17,0.353,16,23,0.696,110
36,11/14/14,Texas A&M,,NW St.,W 109-68,200,42,74,0.568,34,57,0.596,8,17,0.471,17,27,0.63,109
37,11/15/14,Duke,,Fairfield,W 109-59,200,40,62,0.645,31,40,0.775,9,22,0.409,20,28,0.714,109
38,11/20/14,Minnesota,,Franklin Pierce,W 109-57,200,42,72,0.583,31,57,0.544,11,15,0.733,14,24,0.583,109
39,11/22/14,Gonzaga,,St. Thomas Aquinas,W 109-55,200,42,62,0.677,35,45,0.778,7,17,0.412,18,23,0.783,109
40,12/1/14,Detroit,,Aquinas,W 109-59,200,41,68,0.603,29,46,0.63,12,22,0.545,15,26,0.577,109
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
41,12/27/14,Weber State,,Bristol,W 109-59,200,42,60,0.7,27,39,0.692,15,21,0.714,10,15,0.667,109
42,1/13/15,Stephen F. Austin,@,Central Ark.,W 109-58,200,39,67,0.582,31,50,0.62,8,17,0.471,23,30,0.767,109
43,12/7/14,UNC,,East Carolina,W 108-64,200,45,75,0.6,44,68,0.647,1,7,0.143,17,22,0.773,108
44,12/17/14,N.C. Central,,Barber-Scotia,W 108-52,200,43,69,0.623,37,52,0.712,6,17,0.353,16,25,0.64,108
45,12/27/14,Minnesota,,UNC Wilmington,W 108-82,200,40,67,0.597,30,51,0.588,10,16,0.625,18,21,0.857,108
46,1/15/15,Washington St.,,Oregon,W 108-99 (OT),225,33,56,0.589,19,32,0.594,14,24,0.583,28,37,0.757,108
47,1/17/15,Southeastern LA,@,Incarnate Word,W 108-98 (2OT),250,37,63,0.587,25,41,0.61,12,22,0.545,22,31,0.71,108
48,2/3/15,Central Ark.,,NW St.,L 108-110,200,36,62,0.581,23,37,0.622,13,25,0.52,23,28,0.821,108
49,11/14/14,Oregon,,Coppin State,W 107-65,200,41,73,0.562,27,50,0.54,14,23,0.609,11,17,0.647,107
50,11/20/14,USC Upstate,,Bob Jones,W 107-41,200,36,61,0.59,21,34,0.618,15,27,0.556,20,30,0.667,107
51,11/20/14,UCLA,,Nicholls State,W 107-74,200,38,68,0.559,27,47,0.574,11,21,0.524,20,29,0.69,107
52,11/21/14,Illinois,,Austin Peay,W 107-66,200,40,67,0.597,26,42,0.619,14,25,0.56,13,18,0.722,107
53,12/14/14,Northern Ky.,,Cinci-Clermont,W 107-53,200,38,69,0.551,22,38,0.579,16,31,0.516,15,24,0.625,107
54,1/10/15,Cornell,,Alfred,W 107-29,200,36,73,0.493,22,45,0.489,14,28,0.5,21,27,0.778,107
55,3/7/15,Davidson,@,Duquesne,W 107-78,200,40,65,0.615,20,29,0.69,20,36,0.556,7,12,0.583,107
56,11/14/14,Central Mich.,,Alma,W 106-64,200,35,65,0.538,22,39,0.564,13,26,0.5,23,37,0.622,106
57,11/17/14,La.-Monroe,,Champion Baptist,W 106-39,200,41,69,0.594,32,45,0.711,9,24,0.375,15,24,0.625,106
58,11/20/14,Charlotte,N,Penn State,W 106-97 (2OT),250,32,65,0.492,23,46,0.5,9,19,0.474,33,46,0.717,106
59,11/20/14,VCU,,Md.-East. Shore,W 106-66,200,39,70,0.557,24,37,0.649,15,33,0.455,13,21,0.619,106
60,11/23/14,Ohio State,,Sacred Heart,W 106-48,200,41,72,0.569,31,49,0.633,10,23,0.435,14,18,0.778,106
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
61,11/24/14,TCU,,Miss Val St,W 106-53,200,40,66,0.606,28,43,0.651,12,23,0.522,14,24,0.583,106
62,12/14/14,UConn,,Coppin State,W 106-85,200,37,65,0.569,30,47,0.638,7,18,0.389,25,33,0.758,106
63,12/16/14,Texas,,Lipscomb,W 106-61,200,35,65,0.538,23,41,0.561,12,24,0.5,24,37,0.649,106
64,12/17/14,High Point,,Ferrum,W 106-48,200,39,55,0.709,32,45,0.711,7,10,0.7,21,27,0.778,106
65,12/20/14,Longwood,,Penn St.-Beaver,W 106-74,200,39,63,0.619,34,47,0.723,5,16,0.313,23,30,0.767,106
66,1/6/15,North Florida,,Trinity Baptist,W 106-60,200,38,57,0.667,22,27,0.815,16,30,0.533,14,18,0.778,106
67,11/14/14,Alabama State,,Auburn Montgomery,W 105-64,200,38,73,0.521,28,50,0.56,10,23,0.435,19,27,0.704,105
68,11/21/14,Auburn,,Louisiana,W 105-80,200,36,66,0.545,25,40,0.625,11,26,0.423,22,29,0.759,105
69,11/23/14,Wichita State,,Newman,W 105-57,200,35,67,0.522,25,44,0.568,10,23,0.435,25,39,0.641,105
70,11/24/14,Incarnate Word,,Tex. A&M Int'l,W 105-83,200,33,53,0.623,18,28,0.643,15,25,0.6,24,31,0.774,105
71,12/1/14,USC Upstate,,Barber-Scotia,W 105-43,200,42,79,0.532,28,43,0.651,14,36,0.389,7,11,0.636,105
72,12/3/14,UNC Wilmington,,St. Andrews,W 105-47,200,45,64,0.703,35,46,0.761,10,18,0.556,5,14,0.357,105
73,12/4/14,Charleston So.,,Columbia Intl,W 105-55,200,36,67,0.537,24,41,0.585,12,26,0.462,21,32,0.656,105
74,12/10/14,Hofstra,@,Coppin State,W 105-64,200,36,66,0.545,23,41,0.561,13,25,0.52,20,25,0.8,105
75,1/14/15,Central Mich.,,Miami (OH),W 105-77,200,35,51,0.686,16,24,0.667,19,27,0.704,16,23,0.696,105
76,1/26/15,Ark-Pine Bluff,,Prairie View,W 105-68,200,31,49,0.633,19,29,0.655,12,20,0.6,31,33,0.939,105
77,2/1/15,Niagara,,Quinnipiac,W 105-100 (2OT),250,32,67,0.478,20,45,0.444,12,22,0.545,29,35,0.829,105
78,3/7/15,Villanova,,St. John's (NY),W 105-68,200,37,66,0.561,26,34,0.765,11,32,0.344,20,26,0.769,105
79,11/14/14,Creighton,,Central Ark.,W 104-77,200,35,72,0.486,26,46,0.565,9,26,0.346,25,30,0.833,104
80,11/14/14,Gonzaga,,Sacramento St.,W 104-58,200,36,66,0.545,26,42,0.619,10,24,0.417,22,32,0.688,104
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
81,11/14/14,SIU Edwardsville,,Harris-Stowe,W 104-56,200,36,74,0.486,24,48,0.5,12,26,0.462,20,26,0.769,104
82,11/17/14,Delaware State,,Baptist Bible (PA),W 104-63,200,39,75,0.52,29,48,0.604,10,27,0.37,16,21,0.762,104
83,11/19/14,Notre Dame,,Coppin State,W 104-67,200,40,61,0.656,31,42,0.738,9,19,0.474,15,20,0.75,104
84,11/28/14,Montana State,,Texas-Arlington,W 104-81,200,28,54,0.519,10,28,0.357,18,26,0.692,30,33,0.909,104
85,11/30/14,Eastern Wash.,,Eastern Oregon,W 104-87,200,36,64,0.563,30,51,0.588,6,13,0.462,26,29,0.897,104
86,12/8/14,Chattanooga,,Montreat,W 104-50,200,42,76,0.553,32,57,0.561,10,19,0.526,10,16,0.625,104
87,12/14/14,Sacred Heart,,Mitchell,W 104-68,200,41,68,0.603,36,51,0.706,5,17,0.294,17,24,0.708,104
88,12/20/14,UMKC,,Incarnate Word,L 104-110 (3OT),276,32,74,0.432,22,49,0.449,10,25,0.4,30,42,0.714,104
89,12/28/14,SIU Edwardsville,,Robert Morris (IL),W 104-56,200,34,66,0.515,22,42,0.524,12,24,0.5,24,31,0.774,104
90,12/29/14,Western Ky.,,Alice Lloyd,W 104-62,200,36,81,0.444,21,42,0.5,15,39,0.385,17,23,0.739,104
91,1/8/15,South Alabama,,App. St.,W 104-95,200,30,49,0.612,20,32,0.625,10,17,0.588,34,44,0.773,104
92,3/5/15,Delaware State,@,Coppin State,W 104-92,200,34,62,0.548,25,41,0.61,9,21,0.429,27,37,0.73,104
93,3/19/15,UT-Martin,@,NW St.,W 104-79,200,40,72,0.556,24,44,0.545,16,28,0.571,8,9,0.889,104
94,11/16/14,UNC,,Robert Morris,W 103-59,200,36,71,0.507,32,55,0.582,4,16,0.25,27,36,0.75,103
95,11/26/14,West Virginia,N,VMI,W 103-72,200,42,81,0.519,34,63,0.54,8,18,0.444,11,22,0.5,103
96,12/1/14,Coppin State,,Goldey-Beacom,W 103-50,200,34,67,0.507,19,34,0.559,15,33,0.455,20,29,0.69,103
97,1/10/15,NW St.,,Incarnate Word,W 103-101,200,32,69,0.464,22,46,0.478,10,23,0.435,29,34,0.853,103
98,1/14/15,UCF,,Tulane,W 103-100 (3OT),275,34,65,0.523,24,42,0.571,10,23,0.435,25,43,0.581,103
99,1/29/15,Belmont,,Jacksonville St.,W 103-82,200,32,60,0.533,15,36,0.417,17,24,0.708,22,33,0.667,103
100,2/4/15,Lehigh,,Army,W 103-74,200,35,63,0.556,26,45,0.578,9,18,0.5,24,34,0.706,103
101,2/23/15,Stephen F. Austin,,Lamar,W 103-74,200,41,66,0.621,29,43,0.674,12,23,0.522,9,9,1,103
102,11/15/14,Davidson,,Catholic,W 102-66,200,33,65,0.508,18,36,0.5,15,29,0.517,21,23,0.913,102
103,11/17/14,Fairl. Dickinson,,FDU-Florham,W 102-61,200,38,68,0.559,23,41,0.561,15,27,0.556,11,13,0.846,102
104,11/18/14,Chicago State,,Indiana-NW,W 102-51,200,43,70,0.614,38,55,0.691,5,15,0.333,11,19,0.579,102
105,11/20/14,St. Francis (PA),,Keystone,W 102-69,200,37,65,0.569,27,40,0.675,10,25,0.4,18,27,0.667,102
106,11/22/14,Duquesne,@,Abilene Christ.,W 102-81,200,34,57,0.596,22,34,0.647,12,23,0.522,22,34,0.647,102
107,11/23/14,UC-Riverside,,St. Katherine,W 102-49,200,35,59,0.593,25,43,0.581,10,16,0.625,22,28,0.786,102
108,11/25/14,UMass-Lowell,,Mount Ida,W 102-57,200,35,62,0.565,20,35,0.571,15,27,0.556,17,21,0.81,102
109,12/3/14,Murray State,,Bethel (TN),W 102-66,200,36,58,0.621,25,43,0.581,11,15,0.733,19,24,0.792,102
110,12/29/14,Sam Houston St.,,Howard Payne,W 102-47,200,38,70,0.543,23,36,0.639,15,34,0.441,11,18,0.611,102
111,1/10/15,Yale,,Daniel Webster,W 102-47,200,38,66,0.576,25,38,0.658,13,28,0.464,13,17,0.765,102
112,1/14/15,Oral Roberts,,Omaha,W 102-86,200,36,62,0.581,26,43,0.605,10,19,0.526,20,22,0.909,102
113,1/24/15,Eastern Wash.,,North Dakota,W 102-80,200,34,61,0.557,24,40,0.6,10,21,0.476,24,28,0.857,102
114,2/28/15,Stephen F. Austin,@,Houston Baptist,W 102-87,200,31,50,0.62,15,27,0.556,16,23,0.696,24,31,0.774,102
115,11/14/14,Abilene Christ.,,Hillsdale,W 101-61,200,39,69,0.565,27,44,0.614,12,25,0.48,11,16,0.688,101
116,11/16/14,Howard,,Goucher,W 101-54,200,37,72,0.514,26,45,0.578,11,27,0.407,16,19,0.842,101
117,11/17/14,Ball State,,Indiana-Kokomo,W 101-62,200,38,61,0.623,27,41,0.659,11,20,0.55,14,23,0.609,101
118,11/19/14,BYU,,Southern Virginia,W 101-48,200,37,68,0.544,32,47,0.681,5,21,0.238,22,33,0.667,101
119,11/23/14,Holy Cross,,Nichols,W 101-70,200,39,68,0.574,29,42,0.69,10,26,0.385,13,19,0.684,101
120,12/2/14,N.C. Central,,Johnson/Wales-NC,W 101-38,200,37,54,0.685,25,33,0.758,12,21,0.571,15,20,0.75,101
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
121,12/14/14,Northwestern,,Miss Val St,W 101-49,200,39,68,0.574,28,44,0.636,11,24,0.458,12,22,0.545,101
122,12/16/14,Arizona,,Oakland,W 101-64,200,33,60,0.55,26,44,0.591,7,16,0.438,28,43,0.651,101
123,12/17/14,Texas Tech,,SC St.,W 101-39,200,37,64,0.578,26,42,0.619,11,22,0.5,16,25,0.64,101
124,12/30/14,USC Upstate,,Montreat,W 101-55,200,40,74,0.541,31,41,0.756,9,33,0.273,12,16,0.75,101
125,1/10/15,Incarnate Word,@,NW St.,L 101-103,200,34,64,0.531,22,37,0.595,12,27,0.444,21,31,0.677,101
126,2/1/15,Dayton,,Fordham,W 101-77,200,32,52,0.615,23,30,0.767,9,22,0.409,28,34,0.824,101
127,2/10/15,Arkansas,@,Auburn,W 101-87,200,35,65,0.538,24,42,0.571,11,23,0.478,20,25,0.8,101
128,11/14/14,High Point,N,Cal St Bakersfield,W 100-99 (4OT),300,36,73,0.493,26,49,0.531,10,24,0.417,18,32,0.563,100
129,11/14/14,Sam Houston St.,,Austin College,W 100-52,200,36,68,0.529,29,40,0.725,7,28,0.25,21,35,0.6,100
130,11/16/14,Omaha,,Central Ark.,W 100-75,200,34,76,0.447,23,54,0.426,11,22,0.5,21,31,0.677,100
131,11/20/14,Tulane,,Miss Val St,W 100-61,200,37,62,0.597,27,40,0.675,10,22,0.455,16,23,0.696,100
132,11/20/14,William & Mary,,Bluefield (WV),W 100-57,200,32,62,0.516,18,38,0.474,14,24,0.583,22,25,0.88,100
133,11/30/14,Lehigh,,Penn St.-Mont Alto,W 100-74,200,35,77,0.455,26,47,0.553,9,30,0.3,21,27,0.778,100
134,12/5/14,Gardner-Webb,,Toccoa Falls,W 100-61,200,37,66,0.561,25,36,0.694,12,30,0.4,14,28,0.5,100
135,12/6/14,New Orleans,,Crowley's Ridge,W 100-85,200,37,66,0.561,33,53,0.623,4,13,0.308,22,29,0.759,100
