Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,3/17/16,Kansas,N,Austin Peay,W 105-79,200,39,70,0.557,33,54,0.611,6,16,0.375,21,27,0.778,105
2,3/17/17,UNC,N,Texas Southern,W 103-64,200,38,75,0.507,30,53,0.566,8,22,0.364,19,26,0.731,103
3,3/18/11,UNC,N,LIU-Brooklyn,W 102-87,200,34,67,0.507,31,50,0.62,3,17,0.176,31,42,0.738,102
4,3/23/12,Kentucky,N,Indiana,W 102-90,200,31,64,0.484,26,54,0.481,5,10,0.5,35,37,0.946,102
5,3/16/18,Xavier,N,Texas Southern,W 102-83,200,35,64,0.547,24,40,0.6,11,24,0.458,21,32,0.656,102
6,3/25/16,UNC,N,Indiana,W 101-86,200,32,62,0.516,21,42,0.5,11,20,0.55,26,33,0.788,101
7,3/16/17,Arizona,N,North Dakota,W 100-82,200,36,62,0.581,32,51,0.627,4,11,0.364,24,28,0.857,100
8,3/17/17,Kansas,N,UC-Davis,W 100-62,200,36,64,0.563,25,39,0.641,11,25,0.44,17,20,0.85,100
9,3/17/16,Indiana,N,Chattanooga,W 99-74,200,37,57,0.649,27,40,0.675,10,17,0.588,15,18,0.833,99
10,3/22/18,Michigan,N,Texas A&M,W 99-72,200,39,63,0.619,25,39,0.641,14,24,0.583,7,8,0.875,99
11,3/20/11,Ohio State,N,George Mason,W 98-66,200,36,59,0.61,20,33,0.606,16,26,0.615,10,18,0.556,98
12,3/23/17,Kansas,N,Purdue,W 98-66,200,34,62,0.548,19,34,0.559,15,28,0.536,15,22,0.682,98
13,3/17/17,UCLA,N,Kent State,W 97-80,200,37,59,0.627,30,45,0.667,7,14,0.5,16,23,0.696,97
14,3/15/16,Fla. Gulf Coast,N,Fairl. Dickinson,W 96-65,200,34,57,0.596,26,34,0.765,8,23,0.348,20,34,0.588,96
15,3/22/13,Ohio State,N,Iona,W 95-70,200,34,71,0.479,27,56,0.482,7,15,0.467,20,25,0.8,95
16,4/2/16,Villanova,N,Oklahoma,W 95-51,200,35,49,0.714,24,31,0.774,11,18,0.611,14,19,0.737,95
17,3/14/17,Kansas State,N,Wake Forest,W 95-88,200,31,47,0.66,25,31,0.806,6,16,0.375,27,36,0.75,95
18,3/17/18,Kentucky,N,Buffalo,W 95-75,200,36,64,0.563,29,49,0.592,7,15,0.467,16,23,0.696,95
19,3/31/18,Villanova,N,Kansas,W 95-79,200,36,65,0.554,18,25,0.72,18,40,0.45,5,7,0.714,95
20,3/20/11,VCU,N,Purdue,W 94-76,200,37,65,0.569,29,44,0.659,8,21,0.381,12,14,0.857,94
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,3/17/15,Ole Miss,N,BYU,W 94-90,200,36,80,0.45,29,57,0.509,7,23,0.304,15,23,0.652,94
22,3/17/16,Iowa State,N,Iona,W 94-81,200,32,64,0.5,22,42,0.524,10,22,0.455,20,25,0.8,94
23,3/15/18,Seton Hall,N,NC State,W 94-83,200,28,58,0.483,21,37,0.568,7,21,0.333,31,39,0.795,94
24,3/18/18,West Virginia,N,Marshall,W 94-71,200,33,66,0.5,21,41,0.512,12,25,0.48,16,18,0.889,94
25,3/24/11,Arizona,N,Duke,W 93-77,200,34,63,0.54,25,48,0.521,9,15,0.6,16,21,0.762,93
26,3/20/14,Michigan State,N,Delaware,W 93-78,200,30,56,0.536,20,37,0.541,10,19,0.526,23,25,0.92,93
27,3/21/14,Iowa State,N,N.C. Central,W 93-75,200,35,55,0.636,26,38,0.684,9,17,0.529,14,16,0.875,93
28,3/19/15,Arizona,N,Texas Southern,W 93-72,200,32,53,0.604,27,42,0.643,5,11,0.455,24,27,0.889,93
29,3/19/15,Villanova,N,Lafayette,W 93-52,200,36,57,0.632,25,35,0.714,11,22,0.5,10,15,0.667,93
30,3/17/16,Duke,N,UNC Wilmington,W 93-85,200,29,54,0.537,25,39,0.641,4,15,0.267,31,43,0.721,93
31,3/17/17,Oregon,N,Iona,W 93-77,200,35,63,0.556,26,40,0.65,9,23,0.391,14,21,0.667,93
32,3/17/17,South Carolina,N,Marquette,W 93-73,200,36,68,0.529,28,44,0.636,8,24,0.333,13,19,0.684,93
33,3/21/15,UCLA,N,UAB,W 92-75,200,35,58,0.603,30,49,0.612,5,9,0.556,17,25,0.68,92
34,3/18/16,Texas A&M,N,Green Bay,W 92-65,200,32,57,0.561,25,38,0.658,7,19,0.368,21,28,0.75,92
35,3/20/16,Texas A&M,N,Northern Iowa,W 92-88 (2OT),250,31,71,0.437,24,39,0.615,7,32,0.219,23,34,0.676,92
36,3/24/16,Villanova,N,Miami (FL),W 92-69,200,32,51,0.627,22,36,0.611,10,15,0.667,18,19,0.947,92
37,3/17/17,Michigan,N,Oklahoma State,W 92-91,200,29,56,0.518,13,27,0.481,16,29,0.552,18,22,0.818,92
38,3/24/17,UNC,N,Butler,W 92-80,200,31,57,0.544,22,33,0.667,9,24,0.375,21,33,0.636,92
39,3/18/16,Oregon,N,Holy Cross,W 91-52,200,34,61,0.557,28,41,0.683,6,20,0.3,17,22,0.773,91
40,3/17/17,Baylor,N,New Mexico St.,W 91-73,200,35,61,0.574,31,53,0.585,4,8,0.5,17,19,0.895,91
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
41,3/17/17,Oklahoma State,N,Michigan,L 91-92,200,35,64,0.547,28,48,0.583,7,16,0.438,14,16,0.875,91
42,3/18/17,Xavier,N,Florida State,W 91-66,200,30,54,0.556,19,37,0.514,11,17,0.647,20,26,0.769,91
43,3/23/12,Indiana,N,Kentucky,L 90-102,200,36,69,0.522,31,51,0.608,5,18,0.278,13,17,0.765,90
44,3/17/15,BYU,N,Ole Miss,L 90-94,200,28,58,0.483,13,29,0.448,15,29,0.517,19,27,0.704,90
45,3/18/16,Middle Tenn.,N,Michigan State,W 90-81,200,33,59,0.559,22,40,0.55,11,19,0.579,13,21,0.619,90
46,3/19/17,Kansas,N,Michigan State,W 90-70,200,34,64,0.531,26,44,0.591,8,20,0.4,14,15,0.933,90
47,3/17/18,Gonzaga,N,Ohio State,W 90-84,200,31,58,0.534,22,36,0.611,9,22,0.409,19,31,0.613,90
48,3/23/18,Villanova,N,West Virginia,W 90-78,200,27,54,0.5,14,30,0.467,13,24,0.542,23,27,0.852,90
49,3/19/11,BYU,N,Gonzaga,W 89-67,200,31,59,0.525,17,31,0.548,14,28,0.5,13,15,0.867,89
