Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,32,16,16,0.5,-9.14,-6.82,8,10,9,6,6,9,2359,2279,71.6,98.7,0.422,0.374,0.54,50.3,48.1,8.9,7.5,0.499,19.5,28.4,0.298
2,Air Force,31,12,19,0.387,-4.31,1.72,6,12,9,7,3,10,2124,2244,67.7,106.5,0.328,0.431,0.576,51.3,57.2,8.3,10.6,0.549,18.3,27.8,0.234
3,Akron,32,14,18,0.438,-6.82,-1.92,6,12,12,4,2,10,2296,2411,69.1,107.7,0.383,0.401,0.567,50.8,51.1,9,11.7,0.532,16.2,27.9,0.277
4,Alabama A&M,31,3,28,0.097,-23.97,-8.04,3,15,2,9,1,18,1873,2367,68.3,111.3,0.298,0.323,0.562,51.8,52.2,11.1,13.8,0.54,14.4,32.1,0.204
5,Alabama-Birmingham,33,20,13,0.606,4.9,-0.65,10,8,14,3,5,6,2536,2303,69.5,99.7,0.263,0.437,0.524,45.2,53.2,10,7.7,0.498,15.9,24.6,0.183
6,Alabama State,31,8,23,0.258,-18.55,-8.62,8,10,4,8,4,13,2129,2437,70.5,111,0.466,0.352,0.556,52.1,51.4,9.4,9.9,0.519,15.5,34.7,0.319
7,Alabama,36,20,16,0.556,12.34,10.64,8,10,12,4,2,8,2604,2543,70.2,100.6,0.365,0.379,0.514,49.7,48.7,9.4,10.5,0.478,16,30.8,0.25
8,Albany (NY),32,22,10,0.688,0.01,-5.41,10,6,14,3,8,7,2375,2182,67.3,101.3,0.278,0.362,0.533,44.8,53.7,8.2,10.1,0.506,15.2,24.3,0.195
9,Alcorn State,32,11,21,0.344,-18.07,-8.6,7,11,9,5,2,16,2244,2388,70.4,105.5,0.384,0.41,0.541,51.6,57.6,8.9,8.8,0.505,16,31.2,0.27
10,American,30,6,24,0.2,-14.63,-6.17,3,15,4,8,2,16,1961,2215,67.4,109.2,0.408,0.325,0.582,54.9,53.1,10.3,11.9,0.549,17.8,30.9,0.291
11,Appalachian State,33,15,18,0.455,-4.81,-2.65,9,9,9,4,4,11,2520,2448,72,101.6,0.361,0.328,0.535,47.7,47.5,9.1,9.3,0.497,15.8,25.2,0.26
12,Arizona State,32,20,12,0.625,14.37,6.56,8,10,13,4,4,6,2645,2395,72.2,102.8,0.327,0.399,0.54,51,57,7.4,9.8,0.507,17.6,30.6,0.235
13,Arizona,35,27,8,0.771,15.67,6.84,14,4,15,1,8,3,2818,2509,68.7,102.9,0.312,0.356,0.534,44.4,49.8,8.8,6.8,0.499,14.7,25.1,0.229
14,Little Rock,32,7,25,0.219,-10.44,-2.21,4,14,5,10,2,14,2038,2242,66.6,103.7,0.394,0.436,0.541,50.9,57.8,8,10.2,0.509,17.4,30.5,0.267
15,Arkansas-Pine Bluff,35,14,21,0.4,-14.84,-9.36,12,6,7,3,6,13,2307,2499,68.4,103.6,0.447,0.36,0.537,56.4,58.8,11.4,5.7,0.492,18.6,37.3,0.318
16,Arkansas State,32,11,21,0.344,-9.65,-3.02,6,12,7,7,4,13,2369,2523,70.5,110.9,0.346,0.347,0.585,51.4,51.7,8,9.3,0.558,16.8,30.7,0.246
17,Arkansas,35,23,12,0.657,14.76,9.85,10,8,15,2,3,7,2819,2647,71.3,105,0.408,0.416,0.547,51.1,54.7,6.6,8.7,0.504,16.8,31.5,0.297
18,Army,30,13,17,0.433,-8.62,-7.17,6,12,6,5,4,12,2230,2223,71.7,102.9,0.374,0.409,0.552,50.4,53.6,9.3,10.1,0.516,17.5,26.7,0.268
19,Auburn,34,26,8,0.765,15.97,7.29,13,5,15,1,7,4,2783,2488,73.5,99.6,0.381,0.396,0.537,48.3,52.4,8.3,9.3,0.497,18.2,27.8,0.275
20,Austin Peay,34,19,15,0.559,-3.28,-2.49,12,6,13,5,5,9,2512,2446,70.1,101.9,0.396,0.363,0.565,47.8,48.3,8.3,9.2,0.53,20.2,28.7,0.283
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
21,Ball State,32,19,13,0.594,-1.22,-1.99,10,8,14,2,5,10,2410,2362,71.1,102.6,0.293,0.362,0.524,48.9,49.8,9.6,9.7,0.491,14.6,27.3,0.213
22,Baylor,34,19,15,0.559,14.59,9.17,8,10,15,5,2,9,2571,2369,68.5,100.6,0.302,0.384,0.514,45.8,59.7,8.4,10.2,0.479,14.8,29.2,0.216
23,Belmont,33,24,9,0.727,5.54,-2.88,15,3,14,2,9,6,2562,2284,68.5,101,0.268,0.35,0.521,48.5,45.5,8.9,10.6,0.489,14.8,25.7,0.198
24,Bethune-Cookman,32,18,14,0.563,-12.21,-12.48,12,4,10,3,8,10,2621,2543,77.7,101.5,0.375,0.337,0.519,47.9,55.3,8.5,8.9,0.48,15.3,30,0.263
25,Binghamton,31,11,20,0.355,-10.29,-6.36,2,14,7,7,3,12,2147,2181,67.9,103.2,0.311,0.352,0.543,50.4,55.1,8.4,7.5,0.513,15.6,26.2,0.221
26,Boise State,32,23,9,0.719,11.21,3.05,13,5,15,1,6,6,2502,2210,70.7,96.1,0.296,0.366,0.521,44.1,51.3,8.4,9,0.487,15.2,18.2,0.215
27,Boston College,35,19,16,0.543,9,7.2,7,11,14,3,2,11,2673,2610,70.1,105.2,0.271,0.405,0.548,48.4,51.5,7.9,8.5,0.518,15.5,26.7,0.202
28,Boston University,31,15,16,0.484,-8.34,-5.84,10,8,6,7,9,9,2186,2226,68.8,104.4,0.302,0.404,0.552,49.9,51.8,9.3,8.3,0.522,17.5,28.8,0.22
29,Bowling Green State,32,16,16,0.5,-6.38,-2.88,7,11,9,6,6,9,2429,2490,71.9,106.2,0.315,0.364,0.556,48.8,51.2,8.5,9,0.525,15.3,26.1,0.227
30,Bradley,33,20,13,0.606,2.08,0.36,9,9,13,2,4,9,2223,2136,66.3,97.7,0.355,0.417,0.517,48.2,60.1,9.6,7.4,0.474,17.8,28.5,0.261
31,Brigham Young,35,24,11,0.686,8.04,1.53,11,7,13,3,7,6,2600,2372,67.9,98.7,0.284,0.382,0.534,49,51.7,8.8,8,0.513,16.7,22.5,0.187
32,Brown,27,11,16,0.407,-7.78,-4.67,4,10,8,5,3,11,2080,2133,72.7,106.7,0.405,0.358,0.574,49.3,49.4,9.1,12.1,0.541,17.3,26.7,0.286
33,Bryant,31,3,28,0.097,-18.75,-5.43,2,16,1,11,2,17,2169,2582,71,116.9,0.33,0.407,0.598,55.3,54.3,9.1,11.7,0.576,15.4,34,0.231
34,Bucknell,35,25,10,0.714,4.48,-3.46,16,2,15,1,10,8,2837,2559,72.4,99.5,0.345,0.317,0.514,49.2,49.2,9,9.3,0.478,15,27.3,0.24
35,Buffalo,36,27,9,0.75,7.99,0.25,15,3,14,1,8,5,3047,2742,73.9,102,0.395,0.334,0.53,48.6,44.3,7.7,9.7,0.484,16.1,28.8,0.29
36,Butler,35,21,14,0.6,16.92,10.55,9,9,14,3,3,7,2763,2540,69.7,102,0.353,0.376,0.557,48.7,50.2,7.2,8.9,0.519,17.5,24,0.262
