Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,33,27,6,0.818,-1.3,-8.13,14,4,13,2,10,4,2458,2082,67.3,109.8,0.34,0.343,0.569,50.9,58.4,12.9,8.1,0.54,15.5,29.4,0.243
2,Air Force,32,14,18,0.438,-3.94,0.58,8,10,9,6,3,9,2179,2294,67.4,99.5,0.283,0.401,0.54,50.1,54.1,7,5.8,0.517,17.3,23.7,0.192
3,Akron,33,17,16,0.515,5.2,1.42,8,10,14,3,1,10,2271,2107,68.5,100.1,0.277,0.477,0.515,48.2,50.1,8.2,8.9,0.485,15,25.3,0.195
4,Alabama A&M,32,5,27,0.156,-19.28,-8.44,4,14,4,7,0,18,1938,2285,67.5,88.7,0.251,0.319,0.479,47,52.2,10.7,4.6,0.458,19.4,27.6,0.157
5,Alabama-Birmingham,34,20,14,0.588,0.85,-1.25,10,8,11,5,6,5,2392,2287,66.4,105.2,0.313,0.348,0.537,52.6,44.9,9.5,7.5,0.512,14.8,30.4,0.21
6,Alabama State,31,12,19,0.387,-15.69,-7.93,9,9,8,3,3,13,2086,2235,69.6,96,0.388,0.382,0.5,48.9,44,9.3,9.3,0.465,17.8,30.9,0.253
7,Alabama,33,18,15,0.545,10.27,9.79,8,10,10,5,4,8,2369,2353,69.9,102.8,0.385,0.367,0.534,52.2,48.5,6.6,11.6,0.503,16.8,31.3,0.257
8,Albany (NY),32,12,20,0.375,-9.21,-6.53,7,9,6,8,6,10,2150,2216,66.7,99.2,0.322,0.451,0.533,49.8,55.2,9,7.1,0.494,18.4,27.1,0.24
9,Alcorn State,31,10,21,0.323,-22.15,-9.04,6,12,10,3,0,17,1995,2194,68.8,93.2,0.316,0.375,0.504,49.9,55.1,10.7,9.8,0.473,19.9,30.1,0.213
10,American,30,15,15,0.5,-4.02,-7.05,9,9,8,7,6,8,2161,2070,67.7,104.7,0.358,0.355,0.562,50.4,51.4,10.7,11,0.533,16.7,26.1,0.25
11,Appalachian State,32,11,21,0.344,-3.59,0.24,6,12,9,5,2,12,2557,2539,73.7,107.6,0.364,0.42,0.562,48.6,46.1,7.2,6.8,0.529,15.5,26.5,0.261
12,Arizona State,32,22,10,0.688,10.46,5.71,12,6,13,3,6,5,2490,2338,72.1,106.2,0.436,0.357,0.542,53.1,51.1,8.5,9.7,0.508,15.9,32.4,0.292
13,Arizona,32,17,15,0.531,8.36,6.36,8,10,12,5,4,7,2269,2205,68.6,102.6,0.333,0.376,0.526,50.5,50,7.5,6.6,0.49,14.7,28.4,0.24
14,Little Rock,31,10,21,0.323,-4.64,-1.85,5,13,7,9,3,12,2301,2353,72.7,101.2,0.417,0.344,0.569,49.8,54.2,7.4,8.6,0.545,19.9,24.1,0.273
15,Arkansas-Pine Bluff,32,13,19,0.406,-14.51,-8.25,10,8,8,2,4,17,2108,2269,67.3,96.3,0.417,0.341,0.522,49.4,50.8,9.9,9.4,0.484,19.1,29.1,0.282
16,Arkansas State,32,13,19,0.406,-6.83,-0.97,7,11,10,4,2,13,2359,2475,70.2,102.6,0.379,0.372,0.525,51.5,45.6,8,11.8,0.48,16.6,33.2,0.278
17,Arkansas,33,18,15,0.545,12.14,8.99,8,10,12,6,4,7,2499,2395,71.8,104.6,0.384,0.371,0.542,46.8,59.6,11.1,14.9,0.513,16,28.5,0.257
18,Army,32,13,19,0.406,-7.35,-4.51,8,10,10,4,3,13,2268,2305,71.7,98.9,0.241,0.442,0.52,48.9,59.6,8.6,4.6,0.497,14.7,21.8,0.165
19,Auburn,35,26,9,0.743,20.36,10.07,11,7,15,2,4,6,2785,2384,69.3,114,0.313,0.493,0.568,49.8,52.4,13.5,16.1,0.541,14.7,33,0.223
20,Austin Peay,33,22,11,0.667,0.63,-4.37,13,5,10,2,8,7,2712,2413,71.9,113.1,0.342,0.341,0.566,51.7,46.7,10.5,9.2,0.537,14.1,33.1,0.242
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
