Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,School,School,School,School,School,School,School,School,School,School,School,School,School
Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,3/18/11,UNC,N,LIU-Brooklyn,W 102-87,200,34,67,0.507,31,50,0.62,3,17,0.176,31,42,0.738,102
2,3/20/11,Ohio State,N,George Mason,W 98-66,200,36,59,0.61,20,33,0.606,16,26,0.615,10,18,0.556,98
3,3/20/11,VCU,N,Purdue,W 94-76,200,37,65,0.569,29,44,0.659,8,21,0.381,12,14,0.857,94
4,3/24/11,Arizona,N,Duke,W 93-77,200,34,63,0.54,25,48,0.521,9,15,0.6,16,21,0.762,93
5,3/19/11,BYU,N,Gonzaga,W 89-67,200,31,59,0.525,17,31,0.548,14,28,0.5,13,15,0.867,89
6,3/18/11,Duke,N,Hampton,W 87-45,200,32,60,0.533,23,41,0.561,9,19,0.474,14,16,0.875,87
7,3/18/11,LIU-Brooklyn,N,UNC,L 87-102,200,31,85,0.365,23,54,0.426,8,31,0.258,17,25,0.68,87
8,3/17/11,Gonzaga,N,St. John's (NY),W 86-71,200,28,52,0.538,19,37,0.514,9,15,0.6,21,26,0.808,86
9,3/20/11,UNC,N,Washington,W 86-83,200,31,66,0.47,25,54,0.463,6,12,0.5,18,23,0.783,86
10,3/18/11,Texas,N,Oakland,W 85-81,200,30,63,0.476,26,54,0.481,4,9,0.444,21,26,0.808,85
11,3/17/11,West Virginia,N,Clemson,W 84-76,200,27,55,0.491,22,42,0.524,5,13,0.385,25,31,0.806,84
12,3/20/11,Washington,N,UNC,L 83-86,200,33,72,0.458,23,53,0.434,10,19,0.526,7,7,1,83
13,3/24/11,Florida,N,BYU,W 83-74 (OT),225,31,65,0.477,20,31,0.645,11,34,0.324,10,22,0.455,83
14,3/15/11,UNC Asheville,N,Little Rock,W 81-77 (OT),225,27,54,0.5,23,42,0.548,4,12,0.333,23,28,0.821,81
15,3/17/11,UConn,N,Bucknell,W 81-52,200,32,66,0.485,23,42,0.548,9,24,0.375,8,9,0.889,81
16,3/18/11,Oakland,N,Texas,L 81-85,200,33,75,0.44,26,46,0.565,7,29,0.241,8,11,0.727,81
17,3/25/11,UNC,N,Marquette,W 81-63,200,31,74,0.419,26,58,0.448,5,16,0.313,14,21,0.667,81
18,3/17/11,Florida,N,UCSB,W 79-51,200,29,53,0.547,21,30,0.7,8,23,0.348,13,17,0.765,79
19,3/17/11,Cincinnati,N,Missouri,W 78-63,200,29,54,0.537,25,43,0.581,4,11,0.364,16,22,0.727,78
20,3/17/11,UCLA,N,Michigan State,W 78-76,200,22,48,0.458,18,37,0.486,4,11,0.364,30,47,0.638,78
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,3/15/11,Little Rock,N,UNC Asheville,L 77-81 (OT),225,24,56,0.429,15,27,0.556,9,29,0.31,20,26,0.769,77
22,3/18/11,Arizona,N,Memphis,W 77-75,200,23,50,0.46,18,31,0.581,5,19,0.263,26,31,0.839,77
23,3/18/11,Syracuse,N,Indiana State,W 77-60,200,23,44,0.523,16,28,0.571,7,16,0.438,24,31,0.774,77
24,3/24/11,Duke,N,Arizona,L 77-93,200,27,58,0.466,22,44,0.5,5,14,0.357,18,22,0.818,77
25,3/25/11,Kansas,N,Richmond,W 77-57,200,30,63,0.476,21,44,0.477,9,19,0.474,8,10,0.8,77
26,3/17/11,Clemson,N,West Virginia,L 76-84,200,25,58,0.431,20,37,0.541,5,21,0.238,21,26,0.808,76
27,3/17/11,Michigan State,N,UCLA,L 76-78,200,25,62,0.403,15,37,0.405,10,25,0.4,16,21,0.762,76
28,3/20/11,Purdue,N,VCU,L 76-94,200,30,67,0.448,22,42,0.524,8,25,0.32,8,11,0.727,76
29,3/27/11,Kentucky,N,UNC,W 76-69,200,27,56,0.482,15,34,0.441,12,22,0.545,10,16,0.625,76
30,3/18/11,Memphis,N,Arizona,L 75-77,200,26,53,0.491,20,38,0.526,6,15,0.4,17,24,0.708,75
31,3/18/11,Michigan,N,Tennessee,W 75-45,200,33,64,0.516,24,38,0.632,9,26,0.346,0,1,0,75
32,3/18/11,Ohio State,N,UTSA,W 75-46,200,29,52,0.558,17,28,0.607,12,24,0.5,5,8,0.625,75
33,3/17/11,BYU,N,Wofford,W 74-66,200,24,61,0.393,18,39,0.462,6,22,0.273,20,24,0.833,74
34,3/17/11,Pitt,N,UNC Asheville,W 74-51,200,25,59,0.424,17,40,0.425,8,19,0.421,16,25,0.64,74
35,3/18/11,VCU,N,Georgetown,W 74-56,200,18,44,0.409,6,19,0.316,12,25,0.48,26,39,0.667,74
36,3/24/11,BYU,N,Florida,L 74-83 (OT),225,25,71,0.352,15,34,0.441,10,37,0.27,14,16,0.875,74
37,3/24/11,UConn,N,San Diego State,W 74-67,200,27,57,0.474,19,41,0.463,8,16,0.5,12,16,0.75,74
38,3/26/11,Butler,N,Florida,W 74-71 (OT),225,24,60,0.4,15,27,0.556,9,33,0.273,17,27,0.63,74
39,3/17/11,Kansas State,N,Utah State,W 73-68,200,22,54,0.407,17,37,0.459,5,17,0.294,24,28,0.857,73
40,3/18/11,Illinois,N,UNLV,W 73-62,200,28,47,0.596,21,34,0.618,7,13,0.538,10,14,0.714,73
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
41,3/19/11,Florida,N,UCLA,W 73-65,200,27,54,0.5,21,40,0.525,6,14,0.429,13,17,0.765,73
42,3/20/11,Duke,N,Michigan,W 73-71,200,25,49,0.51,20,29,0.69,5,20,0.25,18,25,0.72,73
43,3/20/11,Kansas,N,Illinois,W 73-59,200,27,52,0.519,23,40,0.575,4,12,0.333,15,20,0.75,73
44,3/17/11,Wisconsin,N,Belmont,W 72-58,200,20,40,0.5,8,18,0.444,12,22,0.545,20,25,0.8,72
45,3/18/11,Kansas,N,Boston U.,W 72-53,200,29,57,0.509,20,37,0.541,9,20,0.45,5,8,0.625,72
46,3/25/11,VCU,N,Florida State,W 72-71 (OT),225,24,53,0.453,12,27,0.444,12,26,0.462,12,20,0.6,72
47,3/17/11,St. John's (NY),N,Gonzaga,L 71-86,200,27,58,0.466,20,43,0.465,7,15,0.467,10,15,0.667,71
