Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,School,School,School,School,School,School,School,School,School,School,School,School,School
Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,3/17/17,UNC,N,Texas Southern,W 103-64,200,38,75,0.507,30,53,0.566,8,22,0.364,19,26,0.731,103
2,3/16/17,Arizona,N,North Dakota,W 100-82,200,36,62,0.581,32,51,0.627,4,11,0.364,24,28,0.857,100
3,3/17/17,Kansas,N,UC-Davis,W 100-62,200,36,64,0.563,25,39,0.641,11,25,0.44,17,20,0.85,100
4,3/23/17,Kansas,N,Purdue,W 98-66,200,34,62,0.548,19,34,0.559,15,28,0.536,15,22,0.682,98
5,3/17/17,UCLA,N,Kent State,W 97-80,200,37,59,0.627,30,45,0.667,7,14,0.5,16,23,0.696,97
6,3/14/17,Kansas State,N,Wake Forest,W 95-88,200,31,47,0.66,25,31,0.806,6,16,0.375,27,36,0.75,95
7,3/17/17,Oregon,N,Iona,W 93-77,200,35,63,0.556,26,40,0.65,9,23,0.391,14,21,0.667,93
8,3/17/17,South Carolina,N,Marquette,W 93-73,200,36,68,0.529,28,44,0.636,8,24,0.333,13,19,0.684,93
9,3/17/17,Michigan,N,Oklahoma State,W 92-91,200,29,56,0.518,13,27,0.481,16,29,0.552,18,22,0.818,92
10,3/24/17,UNC,N,Butler,W 92-80,200,31,57,0.544,22,33,0.667,9,24,0.375,21,33,0.636,92
11,3/17/17,Baylor,N,New Mexico St.,W 91-73,200,35,61,0.574,31,53,0.585,4,8,0.5,17,19,0.895,91
12,3/17/17,Oklahoma State,N,Michigan,L 91-92,200,35,64,0.547,28,48,0.583,7,16,0.438,14,16,0.875,91
13,3/18/17,Xavier,N,Florida State,W 91-66,200,30,54,0.556,19,37,0.514,11,17,0.647,20,26,0.769,91
14,3/19/17,Kansas,N,Michigan State,W 90-70,200,34,64,0.531,26,44,0.591,8,20,0.4,14,15,0.933,90
15,3/14/17,Wake Forest,N,Kansas State,L 88-95,200,25,53,0.472,16,26,0.615,9,27,0.333,29,32,0.906,88
16,3/19/17,South Carolina,N,Duke,W 88-81,200,27,63,0.429,20,41,0.488,7,22,0.318,27,32,0.844,88
17,3/17/17,Duke,N,Troy,W 87-65,200,29,62,0.468,16,34,0.471,13,28,0.464,16,23,0.696,87
18,3/16/17,Florida State,N,Fla. Gulf Coast,W 86-80,200,30,54,0.556,28,41,0.683,2,13,0.154,24,39,0.615,86
19,3/16/17,West Virginia,N,Bucknell,W 86-80,200,30,66,0.455,25,55,0.455,5,11,0.455,21,29,0.724,86
20,3/24/17,Kentucky,N,UCLA,W 86-75,200,31,63,0.492,21,40,0.525,10,23,0.435,14,17,0.824,86
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
