Unnamed: 0_level_0,Unnamed: 1_level_0,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Unnamed: 16_level_0,Unnamed: 17_level_0,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Unnamed: 16_level_1,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,32,18,14,.563,4.18,4.28,8,8,13,2,3,11,2241,2170,,1285,764,1702,.449,224,703,.319,418,621,.673,325,1053,458,180,100,412,530
2,Akron NCAA,33,26,7,.788,8.11,0.18,14,2,15,1,7,4,2369,2071,,1340,723,1831,.395,176,544,.324,449,629,.714,358,1060,358,229,96,449,621
3,Alabama A&M,31,11,20,.355,-18.40,-9.82,6,12,7,6,3,12,1957,2160,,1255,783,1753,.447,163,466,.350,431,653,.660,337,1124,390,228,106,384,558
4,Alabama-Birmingham,33,16,17,.485,0.26,1.51,7,9,11,4,4,10,2357,2351,,1325,816,1848,.442,215,604,.356,504,718,.702,353,1155,446,276,127,527,543
5,Alabama State,32,10,22,.313,-17.88,-9.01,8,10,7,5,3,14,1979,2231,,1290,780,1808,.431,215,619,.347,456,685,.666,392,1170,428,254,103,428,530
6,Alabama,36,23,13,.639,9.79,5.93,12,6,16,4,4,8,2268,2102,,1455,750,1853,.405,184,597,.308,418,602,.694,393,1202,361,202,135,521,592
7,Albany (NY) NCAA,35,24,11,.686,-0.87,-4.53,9,7,11,4,11,5,2251,2123,,1405,787,1848,.426,212,640,.331,337,514,.656,324,1069,367,212,119,438,666
8,Alcorn State,34,10,24,.294,-14.26,-7.11,8,10,5,8,4,14,2055,2248,,1366,740,1876,.394,189,609,.310,579,878,.659,421,1236,367,231,120,447,604
9,American,30,10,20,.333,-8.56,-2.53,5,9,7,6,3,14,1735,1916,,1215,695,1576,.441,228,555,.411,298,439,.679,260,937,416,195,111,281,469
10,Appalachian State,31,15,16,.484,-7.91,-5.77,10,8,10,4,4,11,2211,2221,,1270,814,1781,.457,172,523,.329,421,608,.692,322,1084,408,229,105,423,580
11,Arizona State,35,22,13,.629,8.86,4.60,9,9,16,4,4,7,2512,2363,,1425,861,2098,.410,227,673,.337,414,559,.741,396,1251,449,241,116,434,669
12,Arizona NCAA,35,27,8,.771,17.30,7.47,12,6,14,2,7,4,2570,2226,,1405,784,1909,.411,211,589,.358,447,629,.711,321,1051,386,215,112,465,624
13,Little Rock,32,17,15,.531,-4.36,-2.23,11,9,13,3,3,10,2127,2132,,1280,718,1701,.422,198,595,.333,498,721,.691,352,1119,366,208,90,522,666
14,Arkansas-Pine Bluff,30,16,14,.533,-12.13,-8.20,15,3,9,0,6,12,1880,1998,,1206,676,1672,.404,216,681,.317,430,630,.683,375,1138,442,217,97,487,514
15,Arkansas State,31,19,12,.613,0.77,-4.36,12,8,13,2,5,9,2127,1944,,1275,687,1666,.412,171,522,.328,399,587,.680,328,1091,326,194,92,494,619
16,Arkansas,32,19,13,.594,9.82,4.97,10,8,17,1,1,9,2358,2203,,1290,747,1726,.433,203,566,.359,506,766,.661,370,1201,385,168,125,561,587
17,Army,31,16,15,.516,-1.48,-4.52,8,6,9,4,6,10,2245,2112,,1253,730,1749,.417,216,615,.351,436,641,.680,332,1040,398,211,107,400,580
18,Auburn,32,9,23,.281,0.21,4.18,3,15,7,10,1,9,2074,2201,,1305,738,1717,.430,230,666,.345,495,738,.671,327,1126,431,211,117,430,588
19,Austin Peay,31,8,23,.258,-12.35,-4.31,4,12,5,8,2,12,2218,2371,,1265,880,1928,.456,216,624,.346,395,549,.719,386,1120,493,269,94,404,597
20,Ball State,30,15,15,.500,-6.70,-3.15,8,8,8,8,7,6,1957,2041,,1200,716,1604,.446,197,565,.349,412,581,.709,292,951,421,222,87,388,607
