,team1,team2,0,1
0,Abilene Christian,Arizona State,0.151536158,0.848463842
1,Abilene Christian,Auburn,0.117415701,0.882584299
2,Abilene Christian,Baylor,0.161996998,0.838003002
3,Abilene Christian,Belmont,0.163810563,0.836189437
4,Abilene Christian,Bradley,0.205399085,0.794600915
5,Abilene Christian,Buffalo,0.096648996,0.903351004
6,Abilene Christian,Cincinnati,0.062879199,0.937120801
7,Abilene Christian,Colgate,0.517287629,0.482712371
8,Abilene Christian,Duke,0.134448563,0.865551437
9,Abilene Christian,Fairleigh Dickinson,0.757027299,0.242972701
10,Abilene Christian,Florida,0.170068045,0.829931955
11,Abilene Christian,Florida State,0.140978143,0.859021857
12,Abilene Christian,Gardner-Webb,0.302259195,0.697740805
13,Abilene Christian,Georgia State,0.095371628,0.904628372
14,Abilene Christian,Gonzaga,0.107129713,0.892870287
15,Abilene Christian,Houston,0.189999272,0.810000728
16,Abilene Christian,Iona,0.44565618,0.55434382
17,Abilene Christian,Iowa,0.133643656,0.866356344
18,Abilene Christian,Iowa State,0.131556646,0.868443354
19,Abilene Christian,Kansas,0.194756569,0.805243431
20,Abilene Christian,Kansas State,0.102231188,0.897768812
21,Abilene Christian,Kentucky,0.154451107,0.845548893
22,Abilene Christian,Liberty,0.371970472,0.628029528
23,Abilene Christian,Louisville,0.130617788,0.869382212
24,Abilene Christian,LSU,0.10970623,0.89029377
25,Abilene Christian,Marquette,0.14530535,0.85469465
26,Abilene Christian,Maryland,0.158876948,0.841123052
27,Abilene Christian,Michigan,0.10477609,0.89522391
28,Abilene Christian,Michigan State,0.17513998,0.82486002
29,Abilene Christian,Minnesota,0.141175407,0.858824593
30,Abilene Christian,Mississippi,0.121758408,0.878241592
31,Abilene Christian,Mississippi State,0.184325014,0.815674986
32,Abilene Christian,Montana,0.319730232,0.680269768
33,Abilene Christian,Murray State,0.296596158,0.703403842
34,Abilene Christian,North Dakota State,0.448349627,0.551650373
35,Abilene Christian,Northern Kentucky,0.29158033,0.70841967
36,Abilene Christian,North Carolina Central,0.597727912,0.402272088
37,Abilene Christian,Nevada,0.075794838,0.924205162
38,Abilene Christian,New Mexico State,0.088157552,0.911842448
39,Abilene Christian,North Carolina,0.143720306,0.856279694
40,Abilene Christian,Northeastern,0.16461556,0.83538444
41,Abilene Christian,Ohio State,0.192510703,0.807489297
42,Abilene Christian,Oklahoma,0.137736709,0.862263291
43,Abilene Christian,Old Dominion,0.168356675,0.831643325
44,Abilene Christian,Oregon,0.085152126,0.914847874
45,Abilene Christian,Prairie View,0.578250585,0.421749415
46,Abilene Christian,Purdue,0.08073025,0.91926975
47,Abilene Christian,Seton Hall,0.165645528,0.834354472
48,Abilene Christian,St. John's (NY),0.088682576,0.911317424
49,Abilene Christian,Saint Louis,0.140833565,0.859166435
50,Abilene Christian,Saint Mary's,0.129183898,0.870816102
51,Abilene Christian,Syracuse,0.168550071,0.831449929
52,Abilene Christian,Temple,0.095191146,0.904808854
53,Abilene Christian,Tennessee,0.151030086,0.848969914
54,Abilene Christian,Texas Tech,0.086080055,0.913919945
55,Abilene Christian,UC-Irvine,0.142166604,0.857833396
56,Abilene Christian,Central Florida,0.143820865,0.856179135
57,Abilene Christian,Utah State,0.157741831,0.842258169
58,Abilene Christian,VCU,0.100362024,0.899637976
59,Abilene Christian,Vermont,0.065159095,0.934840905
60,Abilene Christian,Villanova,0.154176584,0.845823416
61,Abilene Christian,Virginia,0.145635179,0.854364821
62,Abilene Christian,Virginia Tech,0.112646656,0.887353344
63,Abilene Christian,Washington,0.110473445,0.889526555
64,Abilene Christian,Wisconsin,0.154043442,0.845956558
65,Abilene Christian,Wofford,0.192565419,0.807434581
66,Abilene Christian,Yale,0.397132694,0.602867306
67,Arizona State,Auburn,0.630223907,0.369776093
68,Arizona State,Baylor,0.175532992,0.824467008
69,Arizona State,Belmont,0.531439426,0.468560574
70,Arizona State,Bradley,0.654146668,0.345853332
71,Arizona State,Buffalo,0.512382063,0.487617937
72,Arizona State,Cincinnati,0.164552632,0.835447368
73,Arizona State,Colgate,0.678056515,0.321943485
74,Arizona State,Duke,0.125410372,0.874589628
75,Arizona State,Fairleigh Dickinson,0.697380036,0.302619964
76,Arizona State,Florida,0.229751739,0.770248261
77,Arizona State,Florida State,0.142742696,0.857257304
78,Arizona State,Gardner-Webb,0.723393965,0.276606035
79,Arizona State,Georgia State,0.581649243,0.418350757
80,Arizona State,Gonzaga,0.137060026,0.862939974
81,Arizona State,Houston,0.617926928,0.382073072
82,Arizona State,Iona,0.861497716,0.138502284
83,Arizona State,Iowa,0.491874604,0.508125396
84,Arizona State,Iowa State,0.156609507,0.843390493
85,Arizona State,Kansas,0.148097664,0.851902336
86,Arizona State,Kansas State,0.261799696,0.738200304
87,Arizona State,Kentucky,0.092166652,0.907833348
88,Arizona State,Liberty,0.592054373,0.407945627
89,Arizona State,Louisville,0.18760772,0.81239228
90,Arizona State,LSU,0.532086792,0.467913208
91,Arizona State,Marquette,0.186621541,0.813378459
92,Arizona State,Maryland,0.295440239,0.704559761
93,Arizona State,Michigan,0.176307798,0.823692202
94,Arizona State,Michigan State,0.227884887,0.772115113
95,Arizona State,Minnesota,0.268062876,0.731937124
96,Arizona State,Mississippi,0.441900277,0.558099723
97,Arizona State,Mississippi State,0.457166355,0.542833645
98,Arizona State,Montana,0.614147965,0.385852035
99,Arizona State,Murray State,0.608347352,0.391652648
100,Arizona State,North Dakota State,0.805343265,0.194656735
101,Arizona State,Northern Kentucky,0.703880424,0.296119576
102,Arizona State,North Carolina Central,0.703516457,0.296483543
103,Arizona State,Nevada,0.516908136,0.483091864
104,Arizona State,New Mexico State,0.52733273,0.47266727
105,Arizona State,North Carolina,0.119243983,0.880756017
106,Arizona State,Northeastern,0.617357436,0.382642564
107,Arizona State,Ohio State,0.237872475,0.762127525
108,Arizona State,Oklahoma,0.243928059,0.756071941
109,Arizona State,Old Dominion,0.769312006,0.230687994
110,Arizona State,Oregon,0.253716053,0.746283947
111,Arizona State,Prairie View,0.871079189,0.128920811
112,Arizona State,Purdue,0.177479772,0.822520228
113,Arizona State,Seton Hall,0.382397191,0.617602809
114,Arizona State,St. John's (NY),0.632938798,0.367061202
115,Arizona State,Saint Louis,0.873465198,0.126534802
116,Arizona State,Saint Mary's,0.217204195,0.782795805
117,Arizona State,Syracuse,0.259488622,0.740511378
118,Arizona State,Temple,0.599095446,0.400904554
119,Arizona State,Tennessee,0.208528442,0.791471558
120,Arizona State,Texas Tech,0.482734221,0.517265779
121,Arizona State,UC-Irvine,0.589947326,0.410052674
122,Arizona State,Central Florida,0.546867503,0.453132497
123,Arizona State,Utah State,0.638657645,0.361342355
124,Arizona State,VCU,0.359170612,0.640829388
125,Arizona State,Vermont,0.516556437,0.483443563
126,Arizona State,Villanova,0.30575434,0.69424566
