ID,Pred
2019_1101_1113,0.169689445
2019_1101_1120,0.097341761
2019_1101_1124,0.169707532
2019_1101_1125,0.130586458
2019_1101_1133,0.21145225
2019_1101_1138,0.089521337
2019_1101_1153,0.057952844
2019_1101_1159,0.51854179
2019_1101_1181,0.123431926
2019_1101_1192,0.736139017
2019_1101_1196,0.210538945
2019_1101_1199,0.128210081
2019_1101_1205,0.238468412
2019_1101_1209,0.090257719
2019_1101_1211,0.115601063
2019_1101_1222,0.176959415
2019_1101_1233,0.465295769
2019_1101_1234,0.124779576
2019_1101_1235,0.106395689
2019_1101_1242,0.221501579
2019_1101_1243,0.129851888
2019_1101_1246,0.157093844
2019_1101_1251,0.330149779
2019_1101_1257,0.116980103
2019_1101_1261,0.131226827
2019_1101_1266,0.128187855
2019_1101_1268,0.152077264
2019_1101_1276,0.12532892
2019_1101_1277,0.183806214
2019_1101_1278,0.153311626
2019_1101_1279,0.111796842
2019_1101_1280,0.159382496
2019_1101_1285,0.286319681
2019_1101_1293,0.271930704
2019_1101_1295,0.474690518
2019_1101_1297,0.242899745
2019_1101_1300,0.582620728
2019_1101_1305,0.093729607
2019_1101_1308,0.107285781
2019_1101_1314,0.131526192
2019_1101_1318,0.136484353
2019_1101_1326,0.220081812
2019_1101_1328,0.119438223
2019_1101_1330,0.171914483
2019_1101_1332,0.082615731
2019_1101_1341,0.526958702
2019_1101_1345,0.081636725
2019_1101_1371,0.171659155
2019_1101_1385,0.115861214
2019_1101_1387,0.155589825
2019_1101_1388,0.119282722
2019_1101_1393,0.220859596
2019_1101_1396,0.121920427
2019_1101_1397,0.130774462
2019_1101_1403,0.091985684
2019_1101_1414,0.145164054
2019_1101_1416,0.142952243
2019_1101_1429,0.164460199
2019_1101_1433,0.095180429
2019_1101_1436,0.077842504
2019_1101_1437,0.121304856
2019_1101_1438,0.166243639
2019_1101_1439,0.110059089
2019_1101_1449,0.094449211
2019_1101_1458,0.120306418
2019_1101_1459,0.174289921
2019_1101_1463,0.390898808
2019_1113_1120,0.597351967
2019_1113_1124,0.183073756
2019_1113_1125,0.530259312
2019_1113_1133,0.707041174
2019_1113_1138,0.523813578
2019_1113_1153,0.206984162
2019_1113_1159,0.662332579
2019_1113_1181,0.1355035
2019_1113_1192,0.669106697
2019_1113_1196,0.243278185
2019_1113_1199,0.161132811
2019_1113_1205,0.703270121
2019_1113_1209,0.560916344
2019_1113_1211,0.164363755
2019_1113_1222,0.622054077
2019_1113_1233,0.856929895
2019_1113_1234,0.522211534
2019_1113_1235,0.208826406
2019_1113_1242,0.130800435
2019_1113_1243,0.218302775
2019_1113_1246,0.119402908
2019_1113_1251,0.575911703
2019_1113_1257,0.202925806
2019_1113_1261,0.576434255
2019_1113_1266,0.205417988
2019_1113_1268,0.306200901
2019_1113_1276,0.171139774
2019_1113_1277,0.221560293
2019_1113_1278,0.245869973
2019_1113_1279,0.435725029
2019_1113_1280,0.483415524
2019_1113_1285,0.587545357
2019_1113_1293,0.604587444
2019_1113_1295,0.795485406
2019_1113_1297,0.698309149
2019_1113_1300,0.704343818
2019_1113_1305,0.53027032
2019_1113_1308,0.551063568
2019_1113_1314,0.150127786
2019_1113_1318,0.568930334
2019_1113_1326,0.208526282
2019_1113_1328,0.232744189
2019_1113_1330,0.732033948
2019_1113_1332,0.273065688
2019_1113_1341,0.889076159
2019_1113_1345,0.174306601
2019_1113_1371,0.403875853
